VALUE,pop_densit,roads_dist,deforested,FARC_raste,NP_raster_,mines_dist,wells_dist,slope_ext,elevation_,y,x,rivers_dis,slope_ext_,layer,path
1.00000000,34.43500,0.34681,0.00417,0.00000,0.00000,0.76762,0.75590,0.00000,0.00000,12.00725,-72.07519,261227.87500,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,34.43500,0.64313,0.07196,0.00000,0.00000,1.14017,1.18571,89.04517,4.00000,11.89893,-71.62533,303644.53125,6000.78662,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,34.43500,0.04167,0.00445,0.00000,1.00000,0.19755,0.35010,0.00000,1.00000,11.42399,-72.63335,182428.06250,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,34.43500,0.06719,0.01273,0.00000,1.00000,0.18727,0.59190,0.00000,0.00000,11.31567,-73.22484,115741.08594,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,34.43500,0.14554,0.00000,0.00000,0.00000,0.11180,0.06009,89.59737,11.00000,10.99904,-72.60836,178011.23438,14234.35547,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,50.27800,0.01667,0.02748,0.00000,1.00000,0.46098,0.40251,0.00000,0.00000,10.98238,-74.59109,10000.00000,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,50.27800,0.07683,0.01490,0.00000,0.00000,0.10833,0.22669,89.95327,37.00000,10.98238,-74.09957,16000.00000,122652.38281,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,34.43500,0.26471,0.00138,0.00000,1.00000,0.54937,0.66170,89.95921,134.00000,10.97405,-73.59972,70000.00000,140515.06250,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,662.31500,0.00833,0.00028,0.00000,0.00000,0.37951,0.76399,89.83772,4.00000,10.93239,-75.01596,22803.50781,35316.33203,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,34.43500,0.16029,0.00358,0.00000,1.00000,0.45651,0.35089,89.80756,38.00000,10.93239,-73.09155,126063.47656,29781.02734,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,34.43500,0.01667,0.00581,1.00000,0.00000,0.69367,0.53703,88.79228,5.00000,10.55744,-73.09988,131575.07813,4744.78516,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,50.27800,0.13044,0.00819,0.00000,0.00000,0.40910,0.76739,0.00000,0.00000,10.53244,-74.66606,7211.10254,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,662.31500,0.13333,0.03101,0.00000,0.00000,0.09014,0.39016,0.00000,0.00000,10.47411,-75.13259,2000.00000,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,40.63900,0.24167,0.00140,0.00000,0.00000,0.56875,0.76490,89.91947,59.00000,10.47411,-73.57473,88204.30469,71161.82031,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,71.22600,0.00000,0.00237,0.00000,0.00000,0.42492,0.12500,0.00000,0.00000,10.46578,-75.49914,38470.76953,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,50.27800,0.02635,0.00526,0.00000,0.00000,0.11785,0.70966,0.00000,3.00000,10.46578,-74.11623,41036.56641,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,71.22600,0.03333,0.00000,0.00000,0.00000,0.55933,0.45100,88.79228,10.00000,9.99084,-75.11593,22803.50781,4744.12109,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,50.27800,0.07500,0.00949,0.00000,0.00000,0.59260,0.42720,0.00000,3.00000,9.99084,-74.09957,67230.94531,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,73.67100,0.17341,0.00117,0.00000,0.00000,0.76290,0.38243,0.00000,0.00000,9.96585,-75.57412,54037.02734,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,50.27800,0.05893,0.00322,0.00000,0.00000,0.77661,0.48912,0.00000,3.00000,9.93252,-74.55776,22090.72070,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,40.63900,0.06346,0.00462,1.00000,0.00000,0.34811,0.09754,0.00000,1.00000,9.49924,-73.64138,17088.00781,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,50.27800,0.16667,0.00462,0.00000,0.00000,1.18913,0.20833,87.30106,1.00000,9.47424,-74.57442,7211.10254,2121.78394,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,40.63900,0.15321,0.00335,1.00000,0.00000,0.10672,0.31546,89.98579,104.00000,9.47424,-73.20818,52497.62109,403169.84375,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,73.67100,0.02635,0.00117,0.00000,0.00000,1.08449,0.25739,88.79228,5.00000,9.46591,-75.13259,32249.03125,4744.12109,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,40.63900,0.18727,0.00666,0.00000,0.00000,0.79796,0.18028,0.00000,3.00000,9.46591,-74.09124,32000.00000,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,73.67100,0.06509,0.00110,0.00000,0.00000,1.21940,0.64904,89.14595,0.00000,9.41592,-75.53246,38832.97656,6710.02197,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,40.63900,0.04488,0.00336,0.00000,0.00000,0.64850,0.55933,89.85287,31.00000,8.98264,-73.58306,17088.00781,38953.68750,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,73.67100,0.28735,0.00083,0.00000,0.00000,1.14215,0.49924,89.04516,0.00000,8.97431,-75.06594,2828.42700,6001.83594,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,59.56500,0.03005,0.00456,0.00000,0.00000,1.01687,0.94887,0.00000,0.00000,8.93265,-75.59078,26305.89258,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,71.22600,0.06009,0.00428,0.00000,0.00000,0.91352,0.63355,89.66499,1.00000,8.93265,-73.95795,0.00000,17107.65820,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,71.22600,0.27814,0.00333,0.00000,0.00000,1.10560,0.36903,0.00000,0.00000,8.83266,-74.54943,7211.10254,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
3.00000000,57.43200,0.23863,0.00165,1.00000,0.00000,0.27701,0.44923,89.85352,19.00000,8.49104,-73.09988,70114.18750,39125.21094,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.52000,0.47617,0.00428,0.00000,1.00000,1.05941,2.55835,89.55598,3.00000,8.48271,-77.25694,42426.40625,12906.67383,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,59.56500,0.02357,0.01459,0.00000,0.00000,0.71146,1.21430,88.09085,3.00000,8.48271,-75.59078,40249.22266,3000.91797,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,71.22600,0.45000,0.00496,0.00000,0.00000,0.97057,0.81620,89.78780,5.00000,8.47437,-74.09124,21260.29297,27008.26172,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,40.63900,0.05069,0.00210,0.00000,0.00000,0.71439,0.69572,89.95572,22.00000,8.47437,-73.58306,17088.00781,129428.82031,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,91.74600,0.04714,0.01129,0.00000,0.00000,0.47376,2.05008,89.09976,2.00000,8.45771,-76.61547,2000.00000,6365.35205,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
